"Gun","skin","condition","stat_track","buy_price","sell_price","estimated_value"
"M4A1-S","Mecha Industries","1","False","12.8","12.25","3.02"
"AUG","Aristocrat","3","True","1.53","1.47","0.12"
"AUG","Aristocrat","1","True","3.04","2.91","0.72"
"R8 Revolver","Reboot","1","True","3.19","3.06","0.76"
"P2000","Imperial Dragon","2","True","3.72","3.56","1.47"
"R8 Revolver","Reboot","0","False","2.72","2.61","0.38"
"SCAR-20","Bloodsport","0","False","5.3","5.07","0.75"
"P250","Iron Clad","0","False","0.46","0.44","0.06"
"M4A1-S","Mecha Industries","3","False","7.15","6.84","0.54"
"Tec-9","Ice Cap","4","True","0.49","0.47","0.05"
"Five-SeveN","Violent Daimyo","0","True","2.44","2.34","0.34"
"M4A4","Desolate Space","3","True","15.19","14.53","1.15"
"P2000","Imperial Dragon","2","True","3.72","3.56","1.47"
"PP-Bizon","Harvester","0","False","0.39","0.38","0.06"
"SCAR-20","Bloodsport","0","True","12.56","12.02","1.77"
"P2000","Imperial Dragon","0","True","13.93","13.33","1.96"
"R8 Revolver","Reboot","3","True","1.22","1.17","0.09"
"Sawed-Off","Limelight","1","True","2.44","2.34","0.58"
"Sawed-Off","Limelight","0","False","1.81","1.74","0.26"
"Sawed-Off","Limelight","3","True","0.89","0.86","0.07"
"Nova","Exo","0","False","0.25","0.24","0.04"
"PP-Bizon","Harvester","3","False","0.11","0.1","0.01"
"AUG","Aristocrat","2","False","0.55","0.53","0.22"
"553","Aerial","1","True","0.17","0.16","0.04"
"PP-Bizon","Harvester","3","True","0.26","0.25","0.02"
"P250","Iron Clad","2","False","0.1","0.09","0.04"
"MAC-10","Carnivore","4","False","0.11","0.1","0.01"
"553","Aerial","4","True","0.13","0.12","0.01"
"AWP","Phobos","2","False","1.29","1.24","0.51"
"SG 553","Aerial","1","True","0.81","0.78","0.19"
"P2000","Imperial Dragon","0","True","13.93","13.33","1.96"
"P90","Chopper","1","True","2.8","2.68","0.66"
"AUG","Aristocrat","0","True","5.1","4.88","0.72"
"SCAR-20","Bloodsport","1","False","2.9","2.78","0.69"
"Nova","Exo","4","True","0.34","0.33","0.03"
"R8 Revolver","Reboot","3","True","1.22","1.17","0.09"
"PP-Bizon","Harvester","0","True","1.28","1.23","0.18"
"SCAR-20","Bloodsport","4","False","1.95","1.87","0.19"
"AUG","Aristocrat","1","True","3.04","2.91","0.72"
"PP-Bizon","Harvester","0","False","0.39","0.38","0.06"
"PP-Bizon","Harvester","0","False","0.39","0.38","0.06"
"P2000","Imperial Dragon","0","False","5.23","5.01","0.74"
"P90","Chopper","4","False","1.0","0.96","0.1"
"Nova","Exo","0","True","0.77","0.74","0.11"
"Tec-9","Ice Cap","3","False","0.16","0.15","0.01"
"Nova","Exo","4","False","0.19","0.18","0.02"
"AUG","Aristocrat","2","True","1.43","1.37","0.56"
"SCAR-20","Bloodsport","0","False","5.3","5.07","0.75"
"Nova","Exo","3","False","0.16","0.15","0.01"
"SG 553","Aerial","4","True","0.62","0.6","0.06"
"Tec-9","Ice Cap","3","False","0.16","0.15","0.01"
"P90","Chopper","2","True","1.58","1.52","0.63"
"P2000","Imperial Dragon","1","False","3.04","2.91","0.72"
"AUG","Aristocrat","3","True","1.53","1.47","0.12"
"SCAR-20","Bloodsport","0","False","5.3","5.07","0.75"
"Nova","Exo","4","False","0.19","0.18","0.02"
"P2000","Imperial Dragon","3","False","1.78","1.71","0.14"
"Glock-18","Wasteland Rebel","2","True","17.63","16.87","6.95"
"PP-Bizon","Harvester","0","False","0.39","0.38","0.06"
"PP-Bizon","Harvester","1","True","0.48","0.46","0.11"
"Five-SeveN","Violent Daimyo","0","True","2.44","2.34","0.34"
"M4A4","Desolate Space","3","True","15.19","14.53","1.15"
"P2000","Imperial Dragon","2","True","3.72","3.56","1.47"
"PP-Bizon","Harvester","0","False","0.39","0.38","0.06"
"SCAR-20","Bloodsport","0","True","12.56","12.02","1.77"
"P2000","Imperial Dragon","0","True","13.93","13.33","1.96"
"R8 Revolver","Reboot","3","True","1.22","1.17","0.09"
"Sawed-Off","Limelight","1","True","2.44","2.34","0.58"
"Sawed-Off","Limelight","0","False","1.81","1.74","0.26"
"Sawed-Off","Limelight","3","True","0.89","0.86","0.07"
"=Sum(F3:F141)"
